初始,代码,名称
1,300481,濮阳惠成
2,002237,恒邦股份
3,002050,三花智控
4,002714,牧原股份
5,300232,洲明科技
6,300188,美亚柏科
7,600776,东方通信
8,002458,益生股份
9,300673,佩蒂股份
10,300045,华力创通
11,603989,艾华集团
12,300655,晶瑞股份
13,601225,陕西煤业
14,000975,银泰资源
15,000410,*ST沈机
16,300323,华灿光电
17,600860,京城股份
18,002847,盐津铺子
19,002460,赣锋锂业
20,000338,潍柴动力
21,002268,卫士通
22,600171,上海贝岭
23,600036,招商银行
24,300578,会畅通讯
25,603659,璞泰来
26,600885,宏发股份
27,002153,石基信息
28,000661,长春高新
29,000831,五矿稀土
30,600699,均胜电子
31,002396,星网锐捷
32,688018,乐鑫科技
33,002547,春兴精工
34,688019,安集科技
35,300123,亚光科技
36,300017,网宿科技
37,600487,亨通光电
38,300036,超图软件
39,002189,中光学
40,002233,塔牌集团
41,000581,威孚高科
42,002929,润建股份
43,600459,贵研铂业
44,300284,苏交科
45,601869,长飞光纤
46,600859,王府井
47,600754,锦江股份
48,603959,百利科技
49,300249,依米康
50,603988,中电电机
51,300337,银邦股份
52,000592,平潭发展
53,300203,聚光科技
54,600340,华夏幸福
55,600783,鲁信创投
56,688016,心脉医疗
57,688012,中微公司
58,601012,隆基股份
59,300356,光一科技
60,002304,洋河股份
61,603601,再升科技
62,002782,可立克
63,600779,水井坊
64,002466,天齐锂业
65,600612,老凤祥
66,603678,火炬电子
67,600887,伊利股份
68,688029,南微医学
